code,provider,english_name,polish_name
AR,deepl,Arabic,arabski
BG,deepl,Bulgarian,bułgarski
ZH,deepl,Chinese,chiński
CS,deepl,Czech,czeski
DA,deepl,Danish,duński
NL,deepl,Dutch,holenderski
EN,deepl,English,angielski
ET,deepl,Estonian,estoński
FI,deepl,Finnish,fiński
FR,deepl,French,francuski
DE,deepl,German,niemiecki
EL,deepl,Greek,grecki
HE,deepl,Hebrew,hebrajski
HU,deepl,Hungarian,węgierski
ID,deepl,Indonesian,indonezyjski
IT,deepl,Italian,włoski
JA,deepl,Japanese,japoński
KO,deepl,Korean,koreański
LV,deepl,Latvian,łotewski
LT,deepl,Lithuanian,litewski
NB,deepl,Norwegian Bokmål,norweski (bokmål)
PL,deepl,Polish,polski
PT,deepl,Portuguese,portugalski
RO,deepl,Romanian,rumuński
RU,deepl,Russian,rosyjski
SK,deepl,Slovak,słowacki
SL,deepl,Slovenian,słoweński
ES,deepl,Spanish,hiszpański
SV,deepl,Swedish,szwedzki
TH,deepl,Thai,tajski
TR,deepl,Turkish,turecki
UK,deepl,Ukrainian,ukraiński
VI,deepl,Vietnamese,wietnamski
ZH-HANS,deepl,Chinese (Simplified),chiński (uproszczony)
ZH-HANT,deepl,Chinese (Traditional),chiński (tradycyjny)
EN-US,deepl,English (American),angielski (amerykański)
EN-GB,deepl,English (British),angielski (brytyjski)
PT-BR,deepl,Portuguese (Brazilian),portugalski (brazylijski)
PT-PT,deepl,Portuguese (European),portugalski (europejski)
ACE,deepl,Acehnese,aceh
AF,deepl,Afrikaans,afrikaans
AN,deepl,Aragonese,aragoński
AS,deepl,Assamese,asamski
AY,deepl,Aymara,ajmara
AZ,deepl,Azerbaijani,azerbejdżański
BA,deepl,Bashkir,baszkirski
BE,deepl,Belarusian,białoruski
BHO,deepl,Bhojpuri,bhodźpuri
BN,deepl,Bengali,bengalski
BR,deepl,Breton,bretoński
BS,deepl,Bosnian,bośniacki
CA,deepl,Catalan,kataloński
CEB,deepl,Cebuano,cebuański
CKB,deepl,Kurdish (Sorani),kurdyjski (sorani)
CY,deepl,Welsh,walijski
EO,deepl,Esperanto,esperanto
EU,deepl,Basque,baskijski
FA,deepl,Persian,perski
GA,deepl,Irish,irlandzki
GL,deepl,Galician,galicyjski
GN,deepl,Guarani,guarani
GOM,deepl,Goan Konkani,konkani goański
GU,deepl,Gujarati,gudźarati
HA,deepl,Hausa,hausa
HI,deepl,Hindi,hindi
HR,deepl,Croatian,chorwacki
HT,deepl,Haitian Creole,haitański (kreolski)
HY,deepl,Armenian,ormiański
IG,deepl,Igbo,igbo
IS,deepl,Icelandic,islandzki
JV,deepl,Javanese,jawajski
KA,deepl,Georgian,gruziński
KK,deepl,Kazakh,kazachski
KMR,deepl,Kurdish (Kurmanji),kurdyjski (kurmandżi)
KY,deepl,Kyrgyz,kirgiski
LA,deepl,Latin,łacina
LB,deepl,Luxembourgish,luksemburski
LMO,deepl,Lombard,lombardzki
LN,deepl,Lingala,lingala
MAI,deepl,Maithili,maithili
MG,deepl,Malagasy,malgaski
MI,deepl,Maori,maoryski
MK,deepl,Macedonian,macedoński
MN,deepl,Mongolian,mongolski
MR,deepl,Marathi,marathi
MS,deepl,Malay,malajski
MT,deepl,Maltese,maltański
MY,deepl,Burmese,birmański
NE,deepl,Nepali,nepalski
OC,deepl,Occitan,oksytański
PAG,deepl,Pangasinan,pangasinan
PAM,deepl,Kapampangan,pampango
PRS,deepl,Dari,dari
PS,deepl,Pashto,paszto
QU,deepl,Quechua,keczua
SA,deepl,Sanskrit,sanskryt
SCN,deepl,Sicilian,sycylijski
SQ,deepl,Albanian,albański
SR,deepl,Serbian,serbski
SU,deepl,Sundanese,sundajski
SW,deepl,Swahili,suahili
TA,deepl,Tamil,tamilski
TE,deepl,Telugu,telugu
TG,deepl,Tajik,tadżycki
TK,deepl,Turkmen,turkmeński
TL,deepl,Tagalog,tagalski
TN,deepl,Tswana,tswana
TS,deepl,Tsonga,tsonga
TT,deepl,Tatar,tatarski
UR,deepl,Urdu,urdu
UZ,deepl,Uzbek,uzbecki
WO,deepl,Wolof,wolof
XH,deepl,Xhosa,xhosa
YUE,deepl,Cantonese,kantoński
af,gemini,Afrikaans,afrikaans
sq,gemini,Albanian,albański
am,gemini,Amharic,amharski
ar,gemini,Arabic,arabski
hy,gemini,Armenian,ormiański
as,gemini,Assamese,asamski
az,gemini,Azerbaijani,azerbejdżański
eu,gemini,Basque,baskijski
be,gemini,Belarusian,białoruski
bn,gemini,Bengali,bengalski
bs,gemini,Bosnian,bośniacki
bg,gemini,Bulgarian,bułgarski
ca,gemini,Catalan,kataloński
ceb,gemini,Cebuano,cebuański
zh-CN,gemini,Chinese (Simplified),chiński (uproszczony)
zh-TW,gemini,Chinese (Traditional),chiński (tradycyjny)
co,gemini,Corsican,korsykański
hr,gemini,Croatian,chorwacki
cs,gemini,Czech,czeski
da,gemini,Danish,duński
dv,gemini,Dhivehi,malediwski (dhivehi)
nl,gemini,Dutch,holenderski
en,gemini,English,angielski
eo,gemini,Esperanto,esperanto
et,gemini,Estonian,estoński
fil,gemini,Filipino (Tagalog),filipiński (tagalski)
fi,gemini,Finnish,fiński
fr,gemini,French,francuski
fy,gemini,Frisian,fryzyjski
gl,gemini,Galician,galicyjski
ka,gemini,Georgian,gruziński
de,gemini,German,niemiecki
el,gemini,Greek,grecki
gu,gemini,Gujarati,gudźarati
ht,gemini,Haitian Creole,haitański (kreolski)
ha,gemini,Hausa,hausa
haw,gemini,Hawaiian,hawajski
iw,gemini,Hebrew,hebrajski
hi,gemini,Hindi,hindi
hmn,gemini,Hmong,hmong
hu,gemini,Hungarian,węgierski
is,gemini,Icelandic,islandzki
ig,gemini,Igbo,igbo
id,gemini,Indonesian,indonezyjski
ga,gemini,Irish,irlandzki
it,gemini,Italian,włoski
ja,gemini,Japanese,japoński
jv,gemini,Javanese,jawajski
kn,gemini,Kannada,kannada
kk,gemini,Kazakh,kazachski
km,gemini,Khmer,khmerski
ko,gemini,Korean,koreański
kri,gemini,Krio,krio
ku,gemini,Kurdish,kurdyjski
ky,gemini,Kyrgyz,kirgiski
lo,gemini,Lao,laotański
la,gemini,Latin,łacina
lv,gemini,Latvian,łotewski
lt,gemini,Lithuanian,litewski
lb,gemini,Luxembourgish,luksemburski
mk,gemini,Macedonian,macedoński
mg,gemini,Malagasy,malgaski
ms,gemini,Malay,malajski
ml,gemini,Malayalam,malajalam
mt,gemini,Maltese,maltański
mi,gemini,Maori,maoryski
mr,gemini,Marathi,marathi
mni-Mtei,gemini,Meiteilon (Manipuri),meitei (manipuri)
mn,gemini,Mongolian,mongolski
my,gemini,Myanmar (Burmese),birmański
ne,gemini,Nepali,nepalski
no,gemini,Norwegian,norweski
ny,gemini,Nyanja (Chichewa),cziczewa (nyanja)
or,gemini,Odia (Oriya),odia
ps,gemini,Pashto,paszto
fa,gemini,Persian,perski
pl,gemini,Polish,polski
pt,gemini,Portuguese,portugalski
pa,gemini,Punjabi,pendżabski
ro,gemini,Romanian,rumuński
ru,gemini,Russian,rosyjski
sm,gemini,Samoan,samoański
gd,gemini,Scottish Gaelic,szkocki (gaelicki)
sr,gemini,Serbian,serbski
st,gemini,Sesotho,sotho
sn,gemini,Shona,szona
sd,gemini,Sindhi,sindhi
si,gemini,Sinhala (Sinhalese),syngaleski
sk,gemini,Slovak,słowacki
sl,gemini,Slovenian,słoweński
so,gemini,Somali,somalijski
es,gemini,Spanish,hiszpański
su,gemini,Sundanese,sundajski
sw,gemini,Swahili,suahili
sv,gemini,Swedish,szwedzki
tg,gemini,Tajik,tadżycki
ta,gemini,Tamil,tamilski
te,gemini,Telugu,telugu
th,gemini,Thai,tajski
tr,gemini,Turkish,turecki
uk,gemini,Ukrainian,ukraiński
ur,gemini,Urdu,urdu
ug,gemini,Uyghur,ujgurski
uz,gemini,Uzbek,uzbecki
vi,gemini,Vietnamese,wietnamski
cy,gemini,Welsh,walijski
xh,gemini,Xhosa,xhosa
yi,gemini,Yiddish,jidysz
yo,gemini,Yoruba,joruba
zu,gemini,Zulu,zulu
