key,value
main_tab_title,Home
select_source_btn,Source
select_target_btn,Target
auto_detect_label,Find Subtitles
target_on_source_label,Target on Source
capture_padding_label,Scan Wider
capture_padding_suffix,%
tooltip_find_subtitles,"Automatically scans the full screen for a set period to\ndetect where subtitles appear, then locks the capture area."
tooltip_scan_wider,Expands the captured image beyond the source area for richer\nvisual context. Improves OCR accuracy and reduces misreadings.
tooltip_target_on_source,"Automatically positions the translation window directly\non top of the source area, covering the original subtitles."
start_btn,Start
stop_btn,Stop
hide_source_btn,Hide/Show Source Window
hide_target_btn,Hide/Show Target Window
clear_cache_btn,Clear Translation Cache
clear_debug_log_btn,Clear Debug Log
toggle_debug_log_disable_btn,Disable Debug Log
toggle_debug_log_enable_btn,Enable Debug Log
gui_language_label,Interface Language
gui_language_dropdown_label,Language:
behavior_frame_title,App Behaviour
appearance_frame_title,Appearance
performance_frame_title,Caching and Debugging
keep_linebreaks_label,Keep Linebreaks
check_for_updates_btn,Check for Updates
premium_license_title,PRO Licence 👑
pro_key_placeholder,Enter PRO licence code...
activate_pro_btn,Activate PRO Key
refresh_stats_btn,Refresh Stats
export_csv_btn,Export (CSV)
copy_stats_btn,Copy to Clipboard
released_label,Released
copyright_label,Copyright © 2025-2026 Tomasz Kamiński
about_description,"This application was developed in Python using the following AI models: Claude Sonnet and Claude Opus, Gemini Flash and Gemini Pro, and the following tools: Claude Desktop, Google Antigravity and Gemini CLI."
about_info_manual,"For more information, see the user manual."
about_other_tool_link_desc,Historical daily data reconstruction for Binance and Bybit perpetuals with custom session close times.
keyboard_shortcuts_title,Keyboard Shortcuts
status_ready,Status: Ready
status_ready_hotkey,Status: Ready (Press ~ to Start/Stop)
shortcut_start_stop,Start/Stop Translation
shortcut_toggle_source,Toggle Source Window Visibility
shortcut_toggle_target,Toggle Translation Window Visibility
shortcut_save_settings,Save Settings
shortcut_clear_file_caches,Clear File Caches
shortcut_clear_cache,Clear Translation Cache
shortcut_clear_log,Clear Debug Log
shortcut_reset_window,Reset App Window
status_running,Running (Press ~ to Stop)
status_stopped,Stopped (Press ~ to Start)
settings_tab_title,Settings
translation_model_label,Translation Model:
models_and_context_section_label,Models and Context
ocr_model_label,OCR Model:
ocr_model_gemini,Gemini API (online)
source_lang_label,Source Language:
detect_language,< Detect language >
target_lang_label,Target Language:
deepl_api_key_label,DeepL API Key:
gemini_api_key_label,Gemini API Key:
deepl_model_type_label,Quality:
gemini_context_window_label,Context Window:
gemini_context_window_0,0 (Disabled)
gemini_context_window_1,1 (Last subtitle)
gemini_context_window_2,2 (Two subtitles)
gemini_context_window_3,3 (Three subtitles)
gemini_context_window_4,4 (Four subtitles)
gemini_context_window_5,5 (Five subtitles)
deepl_classic_model,Classic
deepl_nextgen_model,Next-gen
deepl_context_window_label,Context Window:
deepl_context_window_0,0 (Disabled)
deepl_context_window_1,1 (Last subtitle)
deepl_context_window_2,2 (Two subtitles)
deepl_context_window_3,3 (Three subtitles)
scan_interval_label,Scan Interval (ms):
clear_timeout_label,Clear Translation Timeout (s):
discovery_timeout_label,Time:
discovery_timeout_unit,s
source_color_label,Source Area Colour:
target_color_label,Target Area Colour:
target_text_color_label,Target Text Colour:
font_size_label,Target Window Font Size:
font_type_label,Target Window Font Type:
opacity_background_label,Opacity Background:
opacity_text_label,Opacity Text:
file_cache_frame_title,File Caching Options
file_cache_description,"File caching saves translations to disk to reduce API costs, and improves performance."
gemini_file_cache_checkbox,Enable Gemini file cache (gemini_cache.txt)
deepl_file_cache_checkbox,Enable DeepL file cache (deepl_cache.txt)
deepl_cache_file_label,DeepL cache file:
gemini_cache_file_label,Gemini cache file:
cache_files_label,Cache files:
clear_caches_btn,Clear File Caches
save_settings_btn,Save Settings
browse_btn,Browse
show_btn,Show
hide_btn,Hide
choose_color_btn,Choose Colour
debug_tab_title,Debugging
original_image_label,Original Image
processed_image_label,Processed Image
ocr_results_label,Wyniki OCR
ocr_results_placeholder,OCR results will appear here when translation is running.
app_log_label,Application Log
save_debug_images_btn,Save OCR Images
refresh_log_btn,Refresh Log
about_tab_title,About
settings_saved,Status: Settings Saved
no_image_captured,No image captured yet
no_image_processed,No image processed yet
choose_source_color_title,Choose Source Colour
choose_target_color_title,Choose Target Colour
choose_target_text_color_title,Choose Target Text Colour
dialog_area_selected_title,Area Selected
dialog_source_area_set_message,Source area set to:
dialog_target_area_set_message,Target display area set to:
